"","Day","Hr","Temp","KWH"
"179","12/8/2014",7,19.04,131.979443616121
"180","12/8/2014",8,19.94,131.04416343423
"181","12/8/2014",9,21.02,130.173654626591
"182","12/8/2014",10,21.02,128.91451757344
"183","12/8/2014",11,21.92,127.979237391549
"184","12/8/2014",12,23,127.10872858391
"185","12/8/2014",13,24.08,126.238219776272
"186","12/8/2014",14,24.08,124.97908272312
"187","12/8/2014",15,24.89,124.011416854104
"188","12/8/2014",16,24.98,122.784665488078
"189","12/8/2014",17,26.06,121.914156680439
"190","12/8/2014",18,26.06,120.655019627288
"191","12/8/2014",19,26.33,119.493039635515
"192","12/8/2014",20,25.79,36.6482718413305
"193","12/8/2014",21,24.89,35.0652779169181
"194","12/8/2014",22,25.43,34.0004549865231
"195","12/8/2014",23,27.635,33.5347672679605
"196","12/9/2014",0,30.32,64.2636643269121
"197","12/9/2014",1,32.66,63.8465551390386
"198","12/9/2014",2,39.2,64.940778017049
"199","12/9/2014",3,42.08,64.7179829519321
"200","12/9/2014",4,37.04,61.6452474197199
"201","12/9/2014",5,37.4,60.5156531150727
"202","12/9/2014",6,42.89,61.2320429766121
"203","12/9/2014",7,42.98,141.396608228863
"204","12/9/2014",8,44.06,140.526099421224
"205","12/9/2014",9,44.96,139.590819239333
"206","12/9/2014",10,44.78,138.26691081193
"207","12/9/2014",11,44.96,137.07254513303
"208","12/9/2014",12,46.28,136.288398157728
"209","12/9/2014",13,46.94,135.266756143501
"210","12/9/2014",14,46.94,134.007619090349
"211","12/9/2014",15,46.58,132.618939288693
"212","12/9/2014",16,48.02,131.877973229559
"213","12/9/2014",17,48.14,130.662017092576
"214","12/9/2014",18,48.44,129.510832329844
"215","12/9/2014",19,48.92,128.424418941365
"216","12/9/2014",20,48.56,45.6444225214334
"217","12/9/2014",21,48.92,44.5148282167862
"218","12/9/2014",22,48.92,43.2556911636346
"219","12/9/2014",23,48.92,41.996554110483
"220","12/10/2014",0,46.04,70.7229361821386
"221","12/10/2014",1,44.96,69.075170883474
"222","12/10/2014",2,42.98,67.1035487135487
"223","12/10/2014",3,42.08,65.5205547891363
"224","12/10/2014",4,42.08,64.2614177359848
"225","12/10/2014",5,42.2,63.0454615990013
"226","12/10/2014",6,41,61.3545153841687
"227","12/10/2014",7,41.9,141.810551820554
"228","12/10/2014",8,41,140.227557896142
"229","12/10/2014",9,41,138.96842084299
"230","12/10/2014",10,41.36,137.838826538343
"231","12/10/2014",11,42.56,137.011498646872
"232","12/10/2014",12,42.44,135.709180677553
"233","12/10/2014",13,42.56,134.493224540569
"234","12/10/2014",14,41,132.672735577232
"235","12/10/2014",15,39.92,131.024970278568
"236","12/10/2014",16,39.92,129.765833225416
"237","12/10/2014",17,39.11,128.21522498813
"238","12/10/2014",18,39.11,126.956087934978
